Zaman damgası,  Yaşınızı belirtiniz:  ,  Şu anki en yüksek eğitim durumunuz nedir?  ,  Hangi Yapay Zekâ araçlarının ismini duydunuz ve/veya kullandınız?  ,Yapay Zekâ araçlarını (hepsi dahil) ortalama ne sıklıkla kullanıyorsunuz? (Lütfen size en uygun olanı seçiniz.),"Yapay Zekâ araçlarından elde ettiğiniz çıktıların (cevap, metin, kod vb.) doğruluğuna ve güvenilirliğine ne kadar güveniyorsunuz? (1 = Hiç Güvenmiyorum, 5 = Tamamen Güveniyorum)",  Yapay Zekâ aracının ürettiği çıktıları kullanmadan önce daima (veya çoğunlukla) kontrol eder misiniz?  ,"Yapay Zekâ araçlarını etkin bir şekilde kullanmak için gereken teknik beceriye sahip olduğunuzu düşünüyor musunuz? (1 = Kesinlikle Katılmıyorum, 5 = Kesinlikle Katılıyorum.)",  Yapay zekâ araçlarını kullanmanızdaki temel motivasyonunuz aşağıdakilerden hangisidir?  ,"Önümüzdeki 6 ay içinde Yapay Zekâ araçlarını mesleki veya akademik çalışmalarınızda daha yoğun kullanma niyetiniz hangi düzeydedir? ( 1 = 
Kesinlikle Niyetim Yok , 5 =  Kesinlikle Yüksek Niyetim Var)"
21.12.2025 15:41:01,54,Yüksek Lisans/Doktora,"ChatGPT (OpenAI), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 38",Ayda birkaç kez,4,"Hayır, sadece kritik durumlarda kontrol ederim.",2,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",3
21.12.2025 15:41:25,46,Lisans,Copilot (Microsoft),Çok nadiren (Ayda 1 kereden az),5,"Hayır, sadece kritik durumlarda kontrol ederim.",1,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",5
21.12.2025 15:41:47,35,Lise veya altı,"Copilot (Microsoft), 52",Günlük (Birden fazla kez),2,"Hayır, sadece kritik durumlarda kontrol ederim.",5,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, Eğlence / Hobi amaçlı kullanmak",2
21.12.2025 15:41:59,20,Yüksek Lisans/Doktora,"Gemini / Bard (Google), Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 50",Hiç kullanmıyorum,3,"Hayır, genellikle kontrol etmem.",4,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",3
21.12.2025 15:42:11,54,Yüksek Lisans/Doktora,"Gemini / Bard (Google), Copilot (Microsoft), 55",Günlük (1 kez),4,"Hayır, genellikle kontrol etmem.",2,"Merak / Teknolojiyi keşfetme isteği, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 15:42:27,52,Lisans,"Gemini / Bard (Google), GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri, 53",Günlük (1 kez),5,"Hayır, sadece kritik durumlarda kontrol ederim.",4,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",2
21.12.2025 15:42:42,37,Lise veya altı,"Gemini / Bard (Google), Hiçbiri, 23",Günlük (1 kez),4,"Hayır, genellikle kontrol etmem.",1,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",1
21.12.2025 15:42:57,38,Lisans,"GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri",Haftada birkaç kez,5,"Evet, daima kontrol ederim.",5,Verimliliğimi artırmak / Zaman kazanmak,1
21.12.2025 15:43:09,46,Lise veya altı,"ChatGPT (OpenAI), Gemini / Bard (Google), Copilot (Microsoft), 23",Ayda birkaç kez,5,"Evet, daima kontrol ederim.",4,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",1
21.12.2025 15:43:22,57,Yüksek Lisans/Doktora,"Gemini / Bard (Google), Copilot (Microsoft), GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri, 29",Günlük (1 kez),4,"Hayır, genellikle kontrol etmem.",3,"Merak / Teknolojiyi keşfetme isteği, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",1
21.12.2025 15:43:33,53,Ön Lisans,"Gemini / Bard (Google), Hiçbiri, 48",Haftada birkaç kez,3,"Hayır, sadece kritik durumlarda kontrol ederim.",2,"Verimliliğimi artırmak / Zaman kazanmak, İş / Okul görevlerini tamamlamak",1
21.12.2025 15:43:47,47,Ön Lisans,"Copilot (Microsoft), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 19",Ayda birkaç kez,5,"Evet, daima kontrol ederim.",5,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Eğlence / Hobi amaçlı kullanmak",5
21.12.2025 15:43:59,32,Ön Lisans,"Gemini / Bard (Google), Hiçbiri",Çok nadiren (Ayda 1 kereden az),1,"Evet, daima kontrol ederim.",4,Yaratıcılığımı desteklemek / Yeni fikirler üretmek,4
21.12.2025 15:44:11,39,Lisans,"ChatGPT (OpenAI), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), Hiçbiri, 37",Çok nadiren (Ayda 1 kereden az),5,"Hayır, genellikle kontrol etmem.",2,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği",2
21.12.2025 15:44:23,36,Ön Lisans,"ChatGPT (OpenAI), Copilot (Microsoft), 51",Günlük (Birden fazla kez),2,"Evet, daima kontrol ederim.",2,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, Eğlence / Hobi amaçlı kullanmak",3
21.12.2025 15:44:36,43,Lise veya altı,"ChatGPT (OpenAI), Copilot (Microsoft), Hiçbiri",Ayda birkaç kez,1,"Hayır, sadece kritik durumlarda kontrol ederim.",2,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, İş / Okul görevlerini tamamlamak",1
21.12.2025 15:44:49,50,Lisans,"ChatGPT (OpenAI), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları",Ayda birkaç kez,2,"Evet, daima kontrol ederim.",3,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",4
21.12.2025 15:45:01,26,Lise veya altı,"Gemini / Bard (Google), Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), Hiçbiri, 33",Günlük (1 kez),3,"Hayır, sadece kritik durumlarda kontrol ederim.",4,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, Eğlence / Hobi amaçlı kullanmak",1
21.12.2025 15:45:09,52,Lisans,"ChatGPT (OpenAI), Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 32",Haftada birkaç kez,1,"Evet, daima kontrol ederim.",2,"Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",3
21.12.2025 15:45:20,58,Lise veya altı,"Gemini / Bard (Google), Copilot (Microsoft), GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri, 47",Ayda birkaç kez,2,"Hayır, sadece kritik durumlarda kontrol ederim.",1,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",2
21.12.2025 15:45:34,54,Lisans,"ChatGPT (OpenAI), Gemini / Bard (Google), Hiçbiri, 23",Çok nadiren (Ayda 1 kereden az),1,"Evet, daima kontrol ederim.",1,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 15:45:46,38,Yüksek Lisans/Doktora,"Gemini / Bard (Google), Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), 47",Hiç kullanmıyorum,5,"Evet, daima kontrol ederim.",1,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 15:45:57,28,Lisans,"ChatGPT (OpenAI), Hiçbiri, 34",Haftada birkaç kez,1,"Evet, daima kontrol ederim.",1,"Merak / Teknolojiyi keşfetme isteği, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",1
21.12.2025 15:46:07,50,Ön Lisans,"Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), 60",Günlük (1 kez),3,"Hayır, sadece kritik durumlarda kontrol ederim.",4,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 15:46:21,21,Ön Lisans,"ChatGPT (OpenAI), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 43",Ayda birkaç kez,3,"Hayır, sadece kritik durumlarda kontrol ederim.",1,"Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",1
21.12.2025 15:46:34,38,Lisans,"ChatGPT (OpenAI), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 43",Günlük (Birden fazla kez),5,"Hayır, genellikle kontrol etmem.",2,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",5
21.12.2025 15:46:46,50,Lise veya altı,"ChatGPT (OpenAI), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), 42",Haftada birkaç kez,3,"Hayır, sadece kritik durumlarda kontrol ederim.",3,"İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",1
21.12.2025 15:46:59,46,Lisans,"ChatGPT (OpenAI), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri, 53",Çok nadiren (Ayda 1 kereden az),4,"Evet, daima kontrol ederim.",4,"Merak / Teknolojiyi keşfetme isteği, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 15:47:11,29,Ön Lisans,"ChatGPT (OpenAI), Gemini / Bard (Google), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 44",Ayda birkaç kez,2,"Hayır, sadece kritik durumlarda kontrol ederim.",3,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak",4
21.12.2025 15:53:16,54,Lisans,"Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları",Ayda birkaç kez,1,"Hayır, genellikle kontrol etmem.",4,İş / Okul görevlerini tamamlamak,1
21.12.2025 15:53:51,48,Lise veya altı,"ChatGPT (OpenAI), Copilot (Microsoft), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 30",Ayda birkaç kez,5,"Hayır, sadece kritik durumlarda kontrol ederim.",3,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 15:54:01,27,Yüksek Lisans/Doktora,"Copilot (Microsoft), GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri",Günlük (1 kez),1,"Hayır, sadece kritik durumlarda kontrol ederim.",2,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",3
21.12.2025 15:54:09,50,Yüksek Lisans/Doktora,"ChatGPT (OpenAI), Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler)",Çok nadiren (Ayda 1 kereden az),3,"Hayır, sadece kritik durumlarda kontrol ederim.",1,"Verimliliğimi artırmak / Zaman kazanmak, İş / Okul görevlerini tamamlamak",1
21.12.2025 15:54:17,32,Ön Lisans,"Gemini / Bard (Google), Copilot (Microsoft), Hiçbiri, 46",Günlük (Birden fazla kez),2,"Hayır, genellikle kontrol etmem.",5,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",2
21.12.2025 15:54:27,55,Lise veya altı,"ChatGPT (OpenAI), Gemini / Bard (Google), GitHub Copilot / Diğer Kod Üretici YZ Araçları",Hiç kullanmıyorum,2,"Hayır, genellikle kontrol etmem.",5,"Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",5
21.12.2025 15:54:39,53,Lisans,"ChatGPT (OpenAI), Gemini / Bard (Google), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler)",Günlük (1 kez),2,"Evet, daima kontrol ederim.",5,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği",1
21.12.2025 15:54:53,50,Ön Lisans,"Gemini / Bard (Google), Hiçbiri",Çok nadiren (Ayda 1 kereden az),3,"Evet, daima kontrol ederim.",1,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Eğlence / Hobi amaçlı kullanmak",3
21.12.2025 15:55:06,19,Yüksek Lisans/Doktora,"Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), 43",Ayda birkaç kez,5,"Hayır, genellikle kontrol etmem.",1,"Verimliliğimi artırmak / Zaman kazanmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak",2
21.12.2025 15:55:17,43,Ön Lisans,"Gemini / Bard (Google), Hiçbiri, 50",Günlük (Birden fazla kez),2,"Evet, daima kontrol ederim.",5,"Verimliliğimi artırmak / Zaman kazanmak, Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 15:55:30,29,Ön Lisans,"ChatGPT (OpenAI), Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), Hiçbiri, 44",Günlük (1 kez),2,"Evet, daima kontrol ederim.",3,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak",3
21.12.2025 15:55:42,25,Lisans,"Gemini / Bard (Google), Hiçbiri, 37",Günlük (1 kez),3,"Hayır, genellikle kontrol etmem.",1,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, İş / Okul görevlerini tamamlamak",5
21.12.2025 15:55:54,42,Lise veya altı,"Gemini / Bard (Google), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), 20",Hiç kullanmıyorum,3,"Hayır, sadece kritik durumlarda kontrol ederim.",3,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Eğlence / Hobi amaçlı kullanmak",1
21.12.2025 15:56:06,45,Yüksek Lisans/Doktora,"GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri",Çok nadiren (Ayda 1 kereden az),4,"Evet, daima kontrol ederim.",4,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği",2
21.12.2025 15:56:21,25,Lise veya altı,"ChatGPT (OpenAI), Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 48",Çok nadiren (Ayda 1 kereden az),2,"Evet, daima kontrol ederim.",5,"Verimliliğimi artırmak / Zaman kazanmak, İş / Okul görevlerini tamamlamak",4
21.12.2025 15:56:32,22,Ön Lisans,"ChatGPT (OpenAI), Gemini / Bard (Google)",Hiç kullanmıyorum,5,"Hayır, sadece kritik durumlarda kontrol ederim.",2,"Verimliliğimi artırmak / Zaman kazanmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",5
21.12.2025 15:56:46,59,Ön Lisans,"Copilot (Microsoft), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 58",Günlük (1 kez),1,"Hayır, genellikle kontrol etmem.",5,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",3
21.12.2025 15:56:58,21,Ön Lisans,"ChatGPT (OpenAI), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 56",Ayda birkaç kez,5,"Hayır, sadece kritik durumlarda kontrol ederim.",5,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",1
21.12.2025 15:57:12,19,Lise veya altı,"ChatGPT (OpenAI), Gemini / Bard (Google), Hiçbiri, 36",Çok nadiren (Ayda 1 kereden az),2,"Hayır, genellikle kontrol etmem.",4,Eğlence / Hobi amaçlı kullanmak,4
21.12.2025 15:57:26,21,Yüksek Lisans/Doktora,"ChatGPT (OpenAI), Copilot (Microsoft), GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri",Çok nadiren (Ayda 1 kereden az),3,"Hayır, sadece kritik durumlarda kontrol ederim.",3,"Verimliliğimi artırmak / Zaman kazanmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",3
21.12.2025 15:57:39,19,Yüksek Lisans/Doktora,"Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri, 36",Günlük (1 kez),4,"Hayır, genellikle kontrol etmem.",5,"Verimliliğimi artırmak / Zaman kazanmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",3
21.12.2025 15:57:53,30,Ön Lisans,"Gemini / Bard (Google), Copilot (Microsoft), GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri, 35",Haftada birkaç kez,1,"Evet, daima kontrol ederim.",2,"Verimliliğimi artırmak / Zaman kazanmak, Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",3
21.12.2025 15:58:05,60,Ön Lisans,Gemini / Bard (Google),Haftada birkaç kez,2,"Hayır, genellikle kontrol etmem.",1,"Verimliliğimi artırmak / Zaman kazanmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak",5
21.12.2025 15:58:16,36,Lise veya altı,"ChatGPT (OpenAI), Gemini / Bard (Google), Copilot (Microsoft)",Çok nadiren (Ayda 1 kereden az),1,"Hayır, sadece kritik durumlarda kontrol ederim.",5,"İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",5
21.12.2025 15:58:27,57,Ön Lisans,"Gemini / Bard (Google), Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), 51",Günlük (Birden fazla kez),4,"Hayır, genellikle kontrol etmem.",2,Yaratıcılığımı desteklemek / Yeni fikirler üretmek,4
21.12.2025 15:58:40,37,Lisans,"Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 50",Günlük (Birden fazla kez),5,"Hayır, genellikle kontrol etmem.",2,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",1
21.12.2025 15:58:59,58,Yüksek Lisans/Doktora,"Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 38",Günlük (Birden fazla kez),4,"Hayır, genellikle kontrol etmem.",1,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",1
21.12.2025 15:59:12,41,Yüksek Lisans/Doktora,Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler),Günlük (1 kez),5,"Hayır, genellikle kontrol etmem.",2,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Eğlence / Hobi amaçlı kullanmak",1
21.12.2025 19:10:13,26,Ön Lisans,"Gemini / Bard (Google), Copilot (Microsoft), GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri, 32",Hiç kullanmıyorum,5,"Evet, daima kontrol ederim.",5,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 19:10:22,39,Yüksek Lisans/Doktora,"Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), 60",Hiç kullanmıyorum,4,"Evet, daima kontrol ederim.",5,"Verimliliğimi artırmak / Zaman kazanmak, Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak",1
21.12.2025 19:10:32,53,Lise veya altı,"ChatGPT (OpenAI), GitHub Copilot / Diğer Kod Üretici YZ Araçları",Ayda birkaç kez,5,"Hayır, genellikle kontrol etmem.",3,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",5
21.12.2025 19:10:46,21,Lise veya altı,"ChatGPT (OpenAI), Hiçbiri",Haftada birkaç kez,4,"Hayır, genellikle kontrol etmem.",1,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 19:10:56,23,Lisans,"Gemini / Bard (Google), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler)",Hiç kullanmıyorum,5,"Hayır, sadece kritik durumlarda kontrol ederim.",5,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, İş / Okul görevlerini tamamlamak",3
21.12.2025 19:11:07,38,Lisans,"Gemini / Bard (Google), Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), Hiçbiri, 27",Hiç kullanmıyorum,4,"Hayır, genellikle kontrol etmem.",1,"Verimliliğimi artırmak / Zaman kazanmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 19:11:19,55,Yüksek Lisans/Doktora,"ChatGPT (OpenAI), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), Hiçbiri, 37",Çok nadiren (Ayda 1 kereden az),2,"Hayır, genellikle kontrol etmem.",5,"Verimliliğimi artırmak / Zaman kazanmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 19:11:30,34,Yüksek Lisans/Doktora,"ChatGPT (OpenAI), Gemini / Bard (Google), Copilot (Microsoft), Hiçbiri",Günlük (1 kez),4,"Hayır, genellikle kontrol etmem.",4,Eğlence / Hobi amaçlı kullanmak,2
21.12.2025 19:11:39,19,Yüksek Lisans/Doktora,"Copilot (Microsoft), Hiçbiri",Haftada birkaç kez,2,"Evet, daima kontrol ederim.",5,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği",3
21.12.2025 19:11:48,43,Lise veya altı,"Copilot (Microsoft), Hiçbiri",Günlük (1 kez),1,"Hayır, genellikle kontrol etmem.",4,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 19:11:59,51,Ön Lisans,"ChatGPT (OpenAI), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri, 60",Hiç kullanmıyorum,5,"Evet, daima kontrol ederim.",5,"Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",5
21.12.2025 19:12:11,31,Yüksek Lisans/Doktora,"ChatGPT (OpenAI), Gemini / Bard (Google), Copilot (Microsoft), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 25",Günlük (1 kez),4,"Hayır, genellikle kontrol etmem.",1,"Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak",3
21.12.2025 19:12:25,32,Yüksek Lisans/Doktora,"Hiçbiri, 41",Ayda birkaç kez,2,"Hayır, sadece kritik durumlarda kontrol ederim.",3,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",1
21.12.2025 19:12:37,49,Lise veya altı,"Gemini / Bard (Google), GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri",Çok nadiren (Ayda 1 kereden az),5,"Evet, daima kontrol ederim.",2,"Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak",3
21.12.2025 19:12:49,25,Lisans,"Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri, 48",Haftada birkaç kez,2,"Hayır, genellikle kontrol etmem.",3,"Verimliliğimi artırmak / Zaman kazanmak, Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak",5
